1 ,AL                ,5551902028    ,4 CYL. HINO                  ,LCCKV TRUCK/BUS                             ,22243,345,81 ,1.95+/-0.05,1.75+/-0.002,3.8+/-0.4 ,
43,FORCE             ,5004902003    ,"TD 3250, BS IV"             ,TRAX                                        ,20508,182,360,1.55+/-0.05,1.20+/-0.002,4.9+/-0.4 ,
44,FORCE             ,50519020210   ,FML TD 3250 FTI              ,COMMUTER BUS                                ,21407,273,0  ,1.55+/-0.05,1.25+/-0.002,4.0+/-0.4 ,
45,FORCE             ,53497000012   ,TD 2400 FTI BS II            ,TRAX                                        ,21407,273,90 ,1.45+/-0.05,1.20+/-0.002,3.10+/-0.4,
46,FORCE             ,53497000030   ,TD 2650 FTI BS II            ,"TEMPO TRAVELLER, 3 SEATER"                 ,21407,0  ,0  ,1.50+/-0.05,1.20+/-0.002,3.40+/-0.4,
47,FORCE             ,5151902006    ,"TD3250 CRDI BS IV 3.2L,5CYL","GURKHA, 26 SEATER ,TRAVELLER(T2)"          ,24563,0  ,0  ,0          ,0           ,0         ,
48,FORCE             ,1050 2902 0696,"TD2650 CRDI,2.65L 4CYL."    ,"TRAX/AMBULANCE,LCV,BELOW 3.5 TON"          ,24824,0  ,0  ,0          ,0           ,0         ,
49,FORCE             ,1043 2902 1022,"TD 2000 CR,70HP,3CYL."      ,TRAX                                        ,2306 ,158,0  ,2.0+/-0.05 ,1.26+/-0.002,5.5+/-0.4 ,
50,FORD              ,54359700009   ,DV 4                         ,"FIESTA, FUSION, IKON, FIGO"                ,12241,340,78 ,1.6+/-0.05 ,1.2+/-0.002 ,1.6+/-0.4 ,
51,GENERAL MOTOR     ,3133902002    ,1.0 LIT. XSDE                ,BEAT DIESEL                                 ,12067,41 ,0  ,300+/-10   ,130+/-6.0   ,2.1+/-0.5 ,
52,GENERAL MOTOR     ,4351902020    ,"2.ILT, 4 CYL. BS IV"        ,TAVERA                                      ,32345,285,95 ,0          ,0           ,0         ,
53,GENERAL MOTOR     ,5303 970 0098 ,4 JAIL BS III                ,TAVERA                                      ,20138,297,66 ,1.2+/-0.05 ,1.00+/-0.002,2.50+/-0.4,
54,HIDUSTAN MOTORS   ,3537902034    ,1.5 LTR IDI BS IV            ,AMBESSADOR ENCORE                           ,13488,270,270,1.5+/-0.05 ,1.3+/-0.002 ,4.0+/-0.4 ,
55,INTERNATIONAL CARS,4351902003    ,G2-2L BS III/IV              ,RHINO                                       ,32345,265,95 ,0          ,0           ,0         ,
56,INTERNATIONAL CARS,4550902014    ,"4 CYL, 2LIT BS III"         ,RHINO                                       ,18543,270,90 ,1.85+/-0.05,1.45+/-0.002,2.2+/-0.4 ,
